iter	Accuracy	Logloss
0	0.9140969163	0.6182170215
1	0.9317180617	0.5631756153
2	0.9405286344	0.507537666
3	0.9339207048	0.4695466392
4	0.9471365639	0.4247001658
5	0.949339207	0.3778369593
6	0.9537444934	0.334660553
7	0.9537444934	0.3156715601
8	0.9581497797	0.2876888698
9	0.9625550661	0.266830809
10	0.9625550661	0.2451410008
11	0.9713656388	0.2305384792
12	0.9669603524	0.2158497668
13	0.9735682819	0.2018790734
14	0.9735682819	0.1924937172
15	0.9757709251	0.1791893233
16	0.9779735683	0.1700632519
17	0.9779735683	0.1593650561
18	0.9801762115	0.1498678704
19	0.9779735683	0.1438044292
20	0.9801762115	0.1365011527
21	0.9779735683	0.1313805291
22	0.9779735683	0.1247376155
23	0.9823788546	0.1191361165
24	0.9823788546	0.1160826582
25	0.9823788546	0.1115024689
26	0.9823788546	0.1051699193
27	0.9823788546	0.1023963399
28	0.9823788546	0.09866060606
29	0.9845814978	0.09460781643
30	0.986784141	0.09107925772
31	0.986784141	0.08885561827
32	0.986784141	0.08709227043
33	0.986784141	0.08456362009
34	0.986784141	0.08306845819
35	0.986784141	0.08148190829
36	0.986784141	0.07979222097
37	0.986784141	0.07845121665
38	0.9889867841	0.07661449933
39	0.986784141	0.07378700531
40	0.9889867841	0.07218730768
41	0.9889867841	0.071203982
42	0.9911894273	0.06980007103
43	0.9911894273	0.06733760902
44	0.9933920705	0.06647383728
45	0.9933920705	0.06482526918
46	0.9933920705	0.06270092211
47	0.9933920705	0.06118325646
48	0.9933920705	0.05997112754
49	0.9933920705	0.05869116833
50	0.9933920705	0.05788047063
51	0.9933920705	0.05690011448
52	0.9933920705	0.05606252569
53	0.9933920705	0.05509780134
54	0.9933920705	0.05488090943
55	0.9933920705	0.05373775038
56	0.9933920705	0.05302640654
57	0.9933920705	0.05242194551
58	0.9933920705	0.05165650919
59	0.9933920705	0.05116517453
60	0.9955947137	0.05014902373
61	0.9955947137	0.04908866925
62	0.9955947137	0.04856117721
63	0.9955947137	0.04726620533
64	0.9955947137	0.04662518272
65	0.9955947137	0.04634723249
66	0.9955947137	0.04566922126
67	0.9955947137	0.04562092552
68	0.9955947137	0.04515921134
69	0.9955947137	0.04509488877
70	0.9955947137	0.04501185788
71	0.9955947137	0.04418597842
72	0.9955947137	0.04369448998
73	0.9955947137	0.04256440382
74	0.9955947137	0.04177377353
75	0.9955947137	0.0411065862
76	0.9955947137	0.04095341647
77	0.9955947137	0.04076794802
78	0.9955947137	0.04035358679
79	0.9955947137	0.04019394226
80	0.9955947137	0.03987537929
81	0.9955947137	0.03970509931
82	0.9955947137	0.0396689754
83	0.9955947137	0.03924348577
84	0.9955947137	0.03864432136
85	0.9955947137	0.03803651036
86	0.9955947137	0.03786756213
87	0.9955947137	0.03731569223
88	0.9955947137	0.03707956505
89	0.9955947137	0.03693507605
90	0.9955947137	0.03650542683
91	0.9955947137	0.03554545989
92	0.9977973568	0.03491695012
93	0.9977973568	0.03449423464
94	0.9977973568	0.03438158989
95	0.9977973568	0.03395284835
96	0.9977973568	0.03379126028
97	0.9977973568	0.03373542873
98	0.9977973568	0.03346069282
99	0.9977973568	0.0334156131
100	0.9977973568	0.03307922752
101	0.9977973568	0.03219563499
102	0.9977973568	0.03180658725
103	0.9977973568	0.03139165677
104	0.9977973568	0.03114868287
105	0.9977973568	0.03104727861
106	0.9977973568	0.03097767462
107	1	0.03016393172
108	1	0.02954541299
109	1	0.02924042007
110	1	0.02902045712
111	1	0.02886899194
112	1	0.0282361929
113	1	0.02814822365
114	1	0.02775144108
115	1	0.02771499244
116	1	0.02719261674
117	1	0.02691470292
118	1	0.02665450173
119	1	0.02647524548
120	1	0.02630244445
121	1	0.02626574228
122	1	0.02604166578
123	1	0.02574805248
124	1	0.02540821108
125	1	0.02498679362
126	1	0.02492460864
127	1	0.02456523216
128	1	0.02447865028
129	1	0.02412257523
130	1	0.0235175821
131	1	0.02350291644
132	1	0.02293277414
133	1	0.02286688601
134	1	0.02262748174
135	1	0.02231667942
136	1	0.0222721264
137	1	0.02219284545
138	1	0.02215961828
139	1	0.02189038549
140	1	0.02173529634
141	1	0.02155320013
142	1	0.02150051892
143	1	0.02147364248
144	1	0.02144357077
145	1	0.02130430273
146	1	0.02091652698
147	1	0.02082401059
148	1	0.0207904105
149	1	0.02074608388
150	1	0.02072317902
151	1	0.02017978377
152	1	0.01991869892
153	1	0.01989624222
154	1	0.01983930996
155	1	0.01981872878
156	1	0.01963195853
157	1	0.01949106258
158	1	0.01945275945
159	1	0.01927174699
160	1	0.0191608199
161	1	0.01893541533
162	1	0.01891649263
163	1	0.01869469258
164	1	0.01866215215
165	1	0.01861701559
166	1	0.01834590378
167	1	0.01799357709
168	1	0.01795582443
169	1	0.01791298262
170	1	0.01787692491
171	1	0.01757505457
172	1	0.01752904001
173	1	0.01749862725
174	1	0.01747756344
175	1	0.0174617365
176	1	0.01721030549
177	1	0.01694714064
178	1	0.01691461456
179	1	0.01668777092
180	1	0.01647972326
181	1	0.01625181506
182	1	0.01609698979
183	1	0.01605965267
184	1	0.01602932718
185	1	0.01600892069
186	1	0.01599426236
187	1	0.01567397885
188	1	0.01564583254
189	1	0.01563266608
190	1	0.01561888959
191	1	0.01560655238
192	1	0.01557082054
193	1	0.01555894116
194	1	0.01532318895
195	1	0.01530759858
196	1	0.01515978593
197	1	0.01513621586
198	1	0.01512220368
199	1	0.01509052564
